-0.102091, 51.565776,JET Finsbury Park N4
-0.1402537, 51.5213938,JET Fitzrovia W1W - 24x7
1.1878277, 51.0839763,JET Folkestone - HGV
-5.1246953, 50.1836627,JET Four Cross - HGV
-4.9454086, 50.3785093,JET Fraddon - LPG 24x7
1.3428998, 52.2159901,JET Framlingham
-0.3335031, 51.7144915,JET Frogmore
-1.534082, 53.787099,JET FUELS  Apollo Filling Station >+44113 2449635
-1.91282, 54.548923,JET FUELS >+441833 637152
-1.200988, 53.899971,JET FUELS Bilborough Filling Station >+441937 833946
-4.885582, 50.507655,JET FUELS Broadmeadows Garage >+441208 812046
-1.577449, 55.055406,JET FUELS Exhibition Filling Station >+44191 2502308
-2.418073, 53.307997,JET FUELS Gas
-2.344536, 53.48293,JET FUELS Gas >+44161 789 0000
-0.445983, 51.42245,JET FUELS Herds Filling Station >+441784 420294
-4.497162, 55.599359,JET FUELS Honiton Garage >+441404 42036
-0.057792, 51.480186,JET FUELS Hopfields >+4420 76356493
-1.49311, 53.686618,JET FUELS Jacob'S Well Filling Station >+441924 201458
-1.727129, 53.794534,JET FUELS Leeds Road Filling Station >+441274 738721
-1.796441, 53.630261,JET FUELS Lockwood Filling Station >+441484 426080
-0.110949, 51.594585,JET FUELS Mayes Road Filling Station >+44208 881 0890
-1.810771, 52.441865,JET FUELS Olton Filling Station >+44121 7067073
0.427486, 51.516833,JET FUELS Service Station >+441375 679499
-1.094522, 52.590491,JET FUELS Services >+44116 257 1391
-1.11564, 52.629936,JET FUELS St Peters Service Station >+44116 2854645
-1.668083, 55.119432,JET FUELS Stannington Service Station >+441670 789386
-1.336355, 54.543923,JET FUELS Stockton Filling Station >+441642 601864
-1.601826, 54.765157,JET FUELS Stonebridge Service Station >+44191 3783781
-0.328156, 53.769142,JET FUELS Stoneferry North Filling Station >+441482 824472
-0.126617, 51.446336,JET FUELS Streatham Place Filling Station >+44208 6746680
-4.233733, 50.417795,JET FUELS Tamar Service Station >+441752 848965
-3.542099, 50.63866,JET FUELS Telegraph Hill Filling Station >+441392 832894
-1.351094, 54.199526,JET FUELS Thirsk Filling Station >+441845 577918
-0.226436, 51.566502,JET FUELS Victoria Filling Station >+44208 450 4066
-1.915286, 53.856097,JET FUELS Worth Service Station >+441535 6022218
-0.773666, 53.3922972,JET Gainsborough - 24x7
-1.6489588, 54.9532354,JET Gateshead - HGV 24x7
0.4162218, 52.7574581,Jet Gaywood - 1-5 Lynn Road >+01553 763051
-1.2801795, 53.1890625,JET Glapwell - HGV
-4.2656697, 55.8766325,JET Glasgow - 24x7
-4.2070611, 55.8817527,JET Glasgow - HGV
-0.6186723, 51.1839897,JET Godalming
-1.309127, 53.533536,JET Goldthorpe - HGV
0.1150562, 51.5628374,JET Goodmayes - 24x7
-3.5621046, 50.4181646,JET Goodrington
1.7231267, 52.5849704,JET Gorleston
-0.6403435, 52.9170623,JET Grantham
1.7232663, 52.6017297,JET Great Yarmouth
